Top pages,Clicks,Impressions,CTR,Position
https://www.indiascholarships.in/scholarships/mukhyamantri-yuva-swavalamban-yojana-mysy/apply-online,36,10832,0.33%,8.42
https://www.indiascholarships.in/scholarships-in/madhya-pradesh,36,7922,0.45%,6.42
https://www.indiascholarships.in/scholarships-for/category-2a,36,4903,0.73%,7.99
https://www.indiascholarships.in/scholarships/aikyashree-pre-matric-scholarship-for-minorities-west-bengal,36,3573,1.01%,3.69
https://www.indiascholarships.in/scholarships/pre-matric-scholarship-for-ebc-students-odisha,36,3540,1.02%,5.39
https://www.indiascholarships.in/scholarships/pre-matric-st-students-karnataka,35,4652,0.75%,7.59
https://www.indiascholarships.in/scholarships/andhra-pradesh-minority-welfare,35,1133,3.09%,10.33
https://www.indiascholarships.in/scholarships/national-overseas-scholarship-for-scst-students,34,8966,0.38%,9.77
https://www.indiascholarships.in/scholarships/meghalaya-chief-minister-scholarship-scheme-cmss,34,4204,0.81%,8.02
https://www.indiascholarships.in/scholarships-for/christian,34,1118,3.04%,5.97
https://www.indiascholarships.in/scholarships/central-sector-scheme-of-scholarship-for-college-and-university-students,33,20480,0.16%,6.52
https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal,33,5297,0.62%,5.27
https://www.indiascholarships.in/scholarships/nec-merit-scholarship,33,5260,0.63%,7.74
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-sc-students-tripura,33,3552,0.93%,6.85
https://www.indiascholarships.in/scholarships-in/punjab,33,3249,1.02%,6.95
https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support/eligibility,33,1776,1.86%,6.19
https://www.indiascholarships.in/scholarships/trti-scholarship-maharashtra-st/apply-online,33,471,7.01%,5.43
https://www.indiascholarships.in/scholarships/up-post-matric-intermediate-scholarship,32,11165,0.29%,6.08
https://www.indiascholarships.in/scholarships-level/diploma-polytechnic,32,1907,1.68%,7.54
https://www.indiascholarships.in/scholarships/atul-maheshwari-scholarship/apply-online,32,284,11.27%,5.17
https://www.indiascholarships.in/scholarships-in/bihar,31,3566,0.87%,5.19
https://www.indiascholarships.in/scholarships-in/jharkhand,31,3490,0.89%,7.01
https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-obc-students-west-bengal,31,2415,1.28%,4.9
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha/selection-process,31,379,8.18%,3.5
https://www.indiascholarships.in/scholarships/oasis-pre-matric-scholarship-for-sc-students-west-bengal,30,2329,1.29%,4.84
https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap/eligibility,30,746,4.02%,5.39
https://www.indiascholarships.in/scholarships/prime-minister-special-scholarship-scheme-sssjkl,29,11505,0.25%,7.19
https://www.indiascholarships.in/scholarships-in/kerala,29,3573,0.81%,7.53
https://www.indiascholarships.in/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm/last-date,29,3129,0.93%,5.33
https://www.indiascholarships.in/scholarships/punjab-chief-minister-scholarship-scheme,29,848,3.42%,4.48
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha/last-date,28,1581,1.77%,5.07
https://www.indiascholarships.in/scholarships/foundation-for-excellence-ffe-scholarship,26,13087,0.2%,8.06
https://www.indiascholarships.in/scholarships/chief-minister-cm-scholarship-sikkim,26,2009,1.29%,8.05
https://www.indiascholarships.in/scholarships/maharashtra-minority-postmatric,25,2964,0.84%,5.52
https://www.indiascholarships.in/scholarships-for/sc-st-obc-minority-general,25,2630,0.95%,6.26
https://www.indiascholarships.in/scholarships-for/sebc,25,2222,1.13%,6.75
https://www.indiascholarships.in/scholarships/kerala-suvarna-jubilee-merit-scholarship,25,943,2.65%,6.94
https://www.indiascholarships.in/scholarships-for/sikh,24,1277,1.88%,7.18
https://www.indiascholarships.in/scholarships-level/graduation-ug,23,1653,1.39%,7.02
https://www.indiascholarships.in/scholarships/perunthalaivar-kamarajar-financial-assistance-scheme-pkfas,23,1437,1.6%,5.29
https://www.indiascholarships.in/scholarships/nmms-scholarship-karnataka/apply-online,23,466,4.94%,6.25
https://www.indiascholarships.in/guides/nsp,22,15718,0.14%,6.82
https://www.indiascholarships.in/scholarships/mp-mptaas-post-matric-scholarship-for-obc-students,22,2881,0.76%,3.98
https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-sc-students-west-bengal,22,1914,1.15%,5.48
https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal/last-date,22,1213,1.81%,5.6
https://www.indiascholarships.in/scholarships-level/ug,22,850,2.59%,5.37
https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship/apply-online,22,528,4.17%,5.74
https://www.indiascholarships.in/scholarships/dr-hargobind-khurana-scholarship-scheme,22,331,6.65%,3.15
https://www.indiascholarships.in/scholarships/aicte-saksham-scholarship-for-students-with-disabilities,21,3569,0.59%,7.26
https://www.indiascholarships.in/scholarships/punjab-post-matric-scholarship-for-sc-students,21,1816,1.16%,4.54
https://www.indiascholarships.in/scholarships/punjab-post-matric-scholarship-for-obc-bc-students,21,874,2.4%,4.51
https://www.indiascholarships.in/scholarships-for/construction-workers,20,1484,1.35%,6.63
